name,flux,flux_error,width,width_error
AC HVC,,0.0,,0.0
CAP 0718+06,1.4,0.0,207.0,10.0
LSBC F704-V01,2.0,0.0,135.0,10.0
Malin 1,2.1,0.0,417.0,16.0
NGC 0257,9.9,0.0,408.0,11.0
UGC 10042,4.6,0.0,342.0,5.0
UGC 10243,4.6,0.0,165.0,5.0
UGC 10351,6.3,0.0,70.0,2.0
UGC 10384,7.0,0.0,384.0,9.0
UGC 10628,5.0,0.0,259.0,1.0
UGC 10721,5.3,0.0,286.0,11.0
UGC 10747,3.3,1.0,317.0,0.0
UGC 1085,2.1,0.0,60.0,7.0
UGC 10901,9.2,0.0,190.0,0.0
UGC 11017,3.9,0.0,183.0,0.0
UGC 11120,3.6,0.0,179.0,0.0
UGC 11285,5.3,0.0,306.0,6.0
UGC 11362,3.7,0.0,197.0,20.0
UGC 11461,6.6,0.0,322.0,37.0
UGC 11482,8.3,0.0,289.0,4.0
UGC 11504,3.1,0.0,150.0,6.0
UGC 11578,8.7,0.0,99.0,1.0
UGC 11624,3.2,0.0,218.0,7.0
UGC 11627,2.3,0.0,126.0,9.0
UGC 11655,3.8,0.0,266.0,6.0
UGC 11708,7.5,0.0,292.0,4.0
UGC 11774,3.7,0.0,235.0,11.0
UGC 11849,4.3,0.0,357.0,15.0
UGC 11926,5.2,0.0,110.0,3.0
UGC 11992,5.3,0.0,174.0,8.0
UGC 12094,1.8,0.0,59.0,16.0
UGC 12158,4.3,0.0,178.0,7.0
UGC 12388,6.3,0.0,272.0,14.0
UGC 1246,8.6,0.0,113.0,3.0
UGC 12537,3.6,0.0,445.0,16.0
UGC 12624,3.5,0.0,194.0,1.0
UGC 12695,4.2,0.0,85.0,8.0
UGC 12910,2.8,0.0,74.0,9.0
UGC 1519,2.5,0.0,129.0,3.0
UGC 199,3.6,0.0,117.0,7.0
UGC 2008,2.7,0.0,139.0,8.0
UGC 2339,4.5,1.0,497.0,3.0
UGC 2432,5.9,0.0,114.0,1.0
UGC 2602,6.0,0.0,302.0,17.0
UGC 2809,9.9,0.0,154.0,2.0
UGC 2885,19.2,1.0,580.0,4.0
UGC 2905,4.1,0.0,75.0,7.0
UGC 2922,4.6,0.0,369.0,4.0
UGC 2975,2.0,0.0,316.0,10.0
UGC 3044,2.7,0.0,248.0,8.0
UGC 3118,1.6,0.0,78.0,4.0
UGC 3169,3.0,1.0,378.0,0.0
UGC 317,1.1,0.0,37.0,6.0
UGC 3247,5.2,0.0,220.0,0.0
UGC 3296,8.6,1.0,342.0,0.0
UGC 3330,4.6,0.0,211.0,11.0
UGC 3476,7.4,0.0,128.0,13.0
UGC 3564,5.6,0.0,97.0,0.0
UGC 3582,2.8,0.0,177.0,28.0
UGC 3621,9.6,0.0,176.0,1.0
UGC 3755,8.2,0.0,67.0,7.0
UGC 3767,4.0,0.0,261.0,4.0
UGC 3946,12.0,0.0,123.0,13.0
UGC 4117,4.1,0.0,80.0,5.0
UGC 4131,3.4,0.0,464.0,14.0
UGC 4180,5.3,0.0,354.0,2.0
UGC 4385,6.6,0.0,185.0,7.0
UGC 4660,6.0,0.0,77.0,4.0
UGC 4780,8.1,0.0,164.0,15.0
UGC 4955,2.1,0.0,209.0,0.0
UGC 5030,3.4,0.0,300.0,3.0
UGC 5160,2.9,0.0,399.0,21.0
UGC 5215,6.8,1.0,420.0,0.0
UGC 5218,6.7,0.0,195.0,4.0
UGC 5326,4.3,0.0,131.0,6.0
UGC 5358,4.4,0.0,216.0,0.0
UGC 5440,3.0,1.0,537.0,34.0
UGC 5629,2.9,0.0,126.0,4.0
UGC 5651,5.3,0.0,224.0,10.0
UGC 5852,11.2,0.0,380.0,23.0
UGC 6018,1.9,0.0,61.0,11.0
UGC 628,4.4,0.0,241.0,4.0
UGC 6421,7.9,0.0,175.0,2.0
UGC 6464,3.5,0.0,154.0,1.0
UGC 6476,3.7,0.0,321.0,4.0
UGC 6872,5.7,0.0,216.0,6.0
UGC 6886,4.6,0.0,384.0,11.0
UGC 7302,3.9,0.0,91.0,6.0
UGC 7666,2.2,0.0,129.0,18.0
UGC 7976,6.4,0.0,92.0,11.0
UGC 8091,7.0,0.0,44.0,2.0
UGC 8249,7.5,0.0,187.0,14.0
UGC 8503,3.7,0.0,72.0,6.0
UGC 8516,3.6,0.0,125.0,11.0
UGC 8896,5.1,0.0,303.0,18.0
UGC 8904,3.5,0.0,300.0,0.0
UGC 9007,1.4,0.0,59.0,6.0
UGC 9134,4.1,0.0,350.0,30.0
UGC 941,3.6,0.0,87.0,8.0
UGC 9450,2.4,0.0,221.0,13.0
UGC 9535,8.6,0.0,200.0,5.0
UGC 9698,2.7,0.0,198.0,21.0
UGC 9803,1.5,0.0,82.0,1.0
UGC 989,5.4,0.0,161.0,11.0
UGC 9901,5.9,0.0,246.0,3.0
UGC 9965,4.7,0.0,133.0,20.0
UGC 9979,4.8,0.0,137.0,4.0
[OBC97] P02-3,1.9,0.0,109.0,5.0
[OBC97] P07-1,1.4,0.0,171.0,20.0
[OBC97] U01-4,1.8,0.0,197.0,0.0
